epoch,total loss,F1,accuracy
0,0.93679,0.53434,0.62
1,0.67555,0.63994,0.64311
2,0.62212,0.66148,0.67289
3,0.58664,0.69345,0.70044
4,0.55949,0.71428,0.72222
5,0.52154,0.70489,0.71467
6,0.48777,0.73012,0.73778
7,0.4402,0.73632,0.74444
8,0.38791,0.73549,0.73911
9,0.32584,0.73061,0.73067
10,0.25149,0.72964,0.73378
11,0.18256,0.72429,0.72489
12,0.12362,0.71773,0.71511
13,0.0817,0.70765,0.71156
14,0.05083,0.71143,0.71244
15,0.03156,0.70483,0.708
16,0.02127,0.71467,0.71511
17,0.01486,0.70874,0.71111
18,0.01042,0.70623,0.70756
19,0.00789,0.7096,0.71067
