epoch,total loss,F1,accuracy
0,0.9684,0.49277,0.60311
1,0.74048,0.5478,0.62178
2,0.69757,0.6277,0.62222
3,0.66927,0.53606,0.62667
4,0.65212,0.63305,0.65022
5,0.6419,0.63448,0.64756
6,0.62847,0.59651,0.64044
7,0.61677,0.57807,0.60089
8,0.60506,0.60171,0.63867
9,0.59301,0.64601,0.65867
10,0.58269,0.66431,0.668
11,0.56337,0.66384,0.67289
12,0.55363,0.64166,0.66267
13,0.54384,0.67185,0.67867
14,0.52664,0.67,0.676
15,0.51233,0.66231,0.66978
16,0.49506,0.66442,0.67022
17,0.48129,0.67831,0.68133
18,0.46086,0.67746,0.68089
19,0.4457,0.66938,0.67644
20,0.43221,0.66945,0.676
21,0.41707,0.66875,0.67067
22,0.4001,0.6711,0.67333
23,0.38451,0.66724,0.66889
24,0.37481,0.66786,0.67067
25,0.36251,0.66595,0.67289
26,0.35186,0.67285,0.67511
27,0.34296,0.66468,0.66978
28,0.33567,0.66624,0.66667
29,0.32991,0.6636,0.66667
