epoch,total loss,F1,accuracy
0,0.94594,0.54891,0.60711
1,0.67275,0.65146,0.65556
2,0.62195,0.67885,0.68044
3,0.595,0.6856,0.69022
4,0.56642,0.70003,0.70444
5,0.53471,0.7204,0.72933
6,0.4853,0.72184,0.72444
7,0.44418,0.74328,0.74933
8,0.38746,0.74358,0.74889
9,0.32949,0.74774,0.74978
10,0.26384,0.74677,0.748
11,0.19608,0.73955,0.74444
12,0.13644,0.74036,0.74133
13,0.08905,0.73646,0.73689
14,0.05447,0.73662,0.73689
15,0.03523,0.7339,0.73467
16,0.02406,0.73188,0.73244
17,0.01762,0.7376,0.73911
18,0.01249,0.72502,0.724
19,0.00967,0.731,0.73111
