epoch,total loss,F1,accuracy
0,0.93052,0.6113,0.63422
1,0.67677,0.62707,0.64133
2,0.62854,0.61085,0.65778
3,0.59722,0.67786,0.68756
4,0.57053,0.70558,0.70711
5,0.54413,0.72108,0.72356
6,0.50519,0.72021,0.72133
7,0.46861,0.72517,0.72533
8,0.42912,0.73292,0.744
9,0.37762,0.73452,0.73556
10,0.31801,0.72653,0.72756
11,0.26494,0.72505,0.73111
12,0.21291,0.72055,0.72178
13,0.16619,0.70942,0.71244
14,0.12737,0.70474,0.71067
15,0.0955,0.6984,0.70311
16,0.07031,0.69462,0.69689
17,0.05439,0.69685,0.69867
18,0.04273,0.69697,0.69911
19,0.03468,0.69831,0.70044
